author,comment,published_at
@shrikantnalawade3382,woh to babita ji he karke haath nahi uthaya 😂😂😂😂😂,2021-05-28T03:32:34Z
@user-ew4ri5tz1x,Hi,2021-05-28T02:10:34Z
@piyushchauhan5254,Mu pan ahemdabad no 6u my fevrit siriyal tarak Mehta,2021-05-26T21:39:28Z
@siddharththakur5978,Cringe of the highest order. God level.,2021-05-25T07:57:53Z
@anjalimusiclaban649,Good luck,2021-05-25T07:48:00Z
@anjalimusiclaban649,Hi,2021-05-25T07:47:44Z
@pritampawar6478,"<a href=""https://www.youtube.com/watch?v=uhqub_Nt0WU&amp;t=565"">9:25</a> 😂😂",2021-05-24T14:55:37Z
@shaikhshoyab4633,Chutiye hai sb,2021-05-23T15:51:01Z
@RanjeetGupta04,Bira: Bahna,2021-05-23T06:35:34Z
@sksquid7886,पनोती अच्छा नाम है,2021-05-18T11:32:27Z
@sksquid7886,सुन्दर तुजसे टेक्सी का कीराया भी नहीं है तेरे पास किराया भी जेठालाल जी देते हैं दुकान क्या घाक ख़रीदेगा,2021-05-18T11:31:24Z
@rtsky4344,also the best line....was<br>ki babita ji krke haanth nahi uthaya😅😅😅😅😅😅,2021-05-18T08:18:15Z
@lalodelmal4203,HA,2021-05-17T16:29:03Z
@ANUPKUMAR-nh7fw,Hi👍👍👍,2021-05-14T11:02:58Z
@ramnath1542,Hi,2021-05-13T06:25:04Z
@ramkengar4046,A jethyaaaaaa,2021-05-09T06:35:58Z
@Alokkumar-uf1vl,The writer of this episode must be in a super mood while writing. The episode is filled with puns and one-liners.,2021-04-27T17:46:55Z
@dnyaneshwarwarekar4179,one of the best friend ship bonding in world mehta saheb and lovely jethalal ❤️❤️❤️❤️,2021-04-27T17:04:33Z
@vishnugurjar5452,Vishnu gurjar very much has been,2021-04-26T09:09:56Z
@akshaysantra2187,😁😁😆😆😆,2021-04-15T12:24:35Z
@fojisingh100,"Beraham jijaji....Bhola bhala saala,🤣🤣🤣🤣",2021-04-14T07:53:23Z
@ShivamKumar-hn2fc,Jetha ki voice 😂,2021-04-12T16:57:45Z
@DhruvPatel-pe1ns,Daya&#39;s Expressions!!!.,2021-04-12T13:55:19Z
@MdSalim-nz9ft,"<a href=""https://www.youtube.com/watch?v=uhqub_Nt0WU&amp;t=710"">11:50</a> 😂😂😂😂😂",2021-04-11T16:03:05Z
@thakurvinay5701,B,2021-04-11T09:03:28Z
@siddheshnalawade6086,😀😂,2021-04-11T00:08:06Z
@ankesh3172,"<a href=""https://www.youtube.com/watch?v=uhqub_Nt0WU&amp;t=701"">11:41</a> Jethalal voice😂😂😂😂",2021-04-10T17:13:45Z
@gadhvihitesh5145,Nice,2021-04-10T15:16:27Z
@Vivek-dh8nt,Bakchod Daya<br>Chor Sundar aur<br>Champfuck Chacha milke Jethalal ko pagal kardega,2021-04-09T20:55:48Z
@amritpal5822,250 ep,2021-04-09T08:30:19Z
@asit.ssc-cgl,Episode no.????????,2021-04-09T06:23:21Z
@statusboy3741,"<a href=""https://www.youtube.com/watch?v=uhqub_Nt0WU&amp;t=342"">5:42</a> Dr hathi fan like 😢😭<br>👇",2021-04-09T06:07:13Z
@shriyansh4238,😀😀😀😀😀😁😁😁😀😁😁😀😀😁😁😁😁😁😁😁😁😀😁😁😁😀😀😁😁❣️😁😁😁😁😁😁🎂🎂🎂🎂🎂🎂🎂🎂🎂🎂🎂💟🎂🎂🎂🎂😀😀😀😀😀😀😀😁😀😀😀😁😁😀😀😁😁😁😁😀😀😀😁😁😀😁😁😁❣️😁😁😀😀😀😁💟💟💟💟💟💟💟💟💟💟💟💟💟😀💟😀💟😁💟😁💟😀💟😀💟😀😁💟💟😁💟😁💟😀💟😀💟💟😀💟😁💟😀💟😀😀❣️💟😀💟😀💟😁💟😀💟😀💟💟😀💟😁💟😀💟😀😁💟💟😁💟😀💟💟😁💟😀💟😁💟😁😁,2021-04-09T02:16:02Z
@pushkar_sing4665,Best part when jethalal was tuning his  voice 😂🤣🤣🤣,2021-04-08T20:40:31Z
@devaa6978,We all need a true friend like mehta.,2021-04-08T14:38:25Z
@peoplecarecare6457,"<a href=""https://www.youtube.com/watch?v=uhqub_Nt0WU&amp;t=280"">4:40</a> has the best",2021-04-08T10:03:15Z
@ManjuSharma-kb8pt,Music awsome tha old episode,2021-04-07T18:14:04Z
@premcreations2064,"<a href=""https://www.youtube.com/watch?v=uhqub_Nt0WU&amp;t=700"">11:40</a> jethalal is comedy star",2021-04-07T18:02:17Z
@ashutoshsingh3306,Aisi raandiya hi pati ko zehar khilwa deti hai bhaiyo ke liye,2021-04-07T09:17:24Z
@kushagrasaxena9458,Daya and Sundar are so irritating.,2021-04-06T22:50:18Z
@piyushchauhan5254,Gujrati best hote he bhai,2021-04-06T19:22:31Z
@IMT0077,Dinner is incomplete without tmkoc😀,2021-04-06T07:29:52Z
@harrypotter9135,Gujrathi film star ......lamba diloug.🤣🤣🤣sundar ..,2021-04-05T16:38:31Z
@karmanjot5642,"16.30,, taj mahal chor😂😂😂 and 19.20 panoti ko phone 😂😂😂",2021-04-05T14:53:34Z
@akashaggarwal3041,😂😂😂😂jethalal,2021-04-03T15:14:05Z
@sayanbhunia1466,Dilip joshi is THEEEE legend ❤,2021-04-01T08:57:51Z
@s.pgadhavi5796,Kya sur lagaya he jethala l ne 😂,2021-03-31T08:07:36Z
@s.pgadhavi5796,Wa amdavadi😂,2021-03-31T08:04:32Z
@ravalshailesh1453,Nice,2021-03-22T16:35:01Z
@shrawankumar54,Episode no -250,2021-03-15T11:01:46Z
@kavitachoudhary1333,👌👌👌,2021-03-15T10:03:39Z
@tariquezeya407,Ep no konsa hi,2021-03-15T08:15:43Z
@vanshildoshi1672,Best perfomance by Dilip Joshi Jethalal....😂🤣😅😆😀😄and the background music..😂🤣😅😆,2021-03-15T05:32:45Z
@shivendrachaturvedi4975,Kya bole kya baat hai,2021-03-14T06:41:22Z
@SN.Kkiller,"<a href=""https://www.youtube.com/watch?v=uhqub_Nt0WU&amp;t=718"">11:58</a> sa re ga ma ... 😅🤣",2021-03-14T05:12:43Z
@neerajrathore41,tfy7yygyyygy,2021-03-14T03:05:21Z
@SONUYADAV-sc7lr,👍👍👍,2021-03-14T02:11:49Z
@dilipjoshi9558,Àre you missing old comedy 😀 y,2021-03-14T01:31:56Z
@bkgamesworld2.068,Super,2021-03-14T01:20:26Z
@bkgamesworld2.068,Good,2021-03-14T01:20:22Z
@bkgamesworld2.068,Great,2021-03-14T01:20:18Z
@bkgamesworld2.068,Nice,2021-03-14T01:20:13Z
@RANA-rz5wm,Episode number,2021-03-13T17:43:59Z
@piushsarena7218,😄😄😄😄😋😋,2021-03-13T17:07:52Z
@sbfmantra999,Jethalal&#39;s big villan is  ? Tell the name,2021-03-13T16:34:32Z
@v.ssatasiya3646,Op Taarak Mehta ka ooltah chashma,2021-03-13T15:38:51Z
@AnkitKumar-cu8dq,Nice,2021-03-13T15:25:38Z
@pratik7221,Episode no.,2021-03-13T14:17:07Z
@nitsyt01,Jetha lal is best aciting actor,2021-03-13T13:58:05Z
@KishanKumar-br4oq,🤣🤣🤣🤣🤣,2021-03-13T13:49:14Z
@KishanKumar-br4oq,Hello,2021-03-13T13:48:27Z
@YtStatus14,किसको किसको लाइक मांगने वालों से नफरत है 😡😡😡😡😡<br>वो👇🏻इधर  एक लाइक करो 😂🤣😂🤣😂,2021-03-13T13:46:17Z
@shitalmeshram5071,I have watched every episode of tmkoc but still make me to laugh,2021-03-13T13:41:42Z
@MRCHOTU-fw5tg,1 193,2021-03-13T13:41:30Z
@YtStatus14,How many students here 🤩😍👇🏻,2021-03-13T13:40:14Z
@abhishekpareek3893,😂😂😂😂🤙🤙,2021-03-13T13:40:02Z
@YtStatus14,jethalal :- king of thug life...🔥🔥🔥,2021-03-13T13:39:44Z
@YtStatus14,jethalal ke liye ek like 🤩😍🔥✅❤👇🏻,2021-03-13T13:36:42Z
@YtStatus14,jethalal is legend character 😎😎😎🤩😍😂🤣😂,2021-03-13T13:36:23Z
@KTheme,Is jetha lal me real talent hai movie me jane layak hai yeh banda i like this actor 👍👍👍👍,2021-03-13T13:35:06Z
@Mario-cy3df,&quot;Any school and college students is here.. &quot;❤,2021-03-13T13:32:17Z
@yhngaming7561,Just remember my name my hardwork and consistency will pay me back one day....,2021-03-13T13:30:05Z
@kulwinderkaur6555,Tmkoc is best show at Sab t v,2021-03-13T13:23:34Z
@VikramSingh-pd7gl,First with 240 others,2021-03-13T13:22:21Z
@Ayush47880,Bakwaas show tmkoc,2021-03-13T13:21:01Z
@Explorewithsanali,Hahahaha.. always a good dose of happiness..,2021-03-13T13:18:03Z
@ds-qg2sx,🙏🙏,2021-03-13T13:16:44Z
@ds-qg2sx,Hii,2021-03-13T13:16:40Z
@ds-qg2sx,Big fan  of jethalal,2021-03-13T13:16:35Z
